Title,Link,Date,Category,Description
DES DROITS ET PRINCIPES DE LA JUSTICE,http://www.justice.gov.bf/index.php/2023/11/02/des-droits-et-principes-de-la-justice/,2 novembre 2023,Info-Pratique,"DROITS ET PRINCIPES FONDAMENTAUX RÉGISSANT L’INSTANCE DEVANT TOUTE JURIDICTION • Le droit d’accès à la justice C’est le droit pour toute personne de pouvoir saisir les juridictions ou tribunaux nationaux compétents, de tout acte violant les droits fondamentaux qui lui sont reconnus et garantis par la Constitution, les conventions internationales, les lois et règlements en vigueur. • Le droit à…Lire Plus"
LE PROCUREUR DU FASO,http://www.justice.gov.bf/index.php/2023/10/26/le-procureur-du-faso/,26 octobre 2023,Info-Pratique,"Le procureur du Faso est l’appellation du magistrat qui dirige le parquet près le Tribunal de grande instance (TGI), depuis le changement de nom du pays en 1984. De procureur de la république, on est passé à procureur du Faso, le Faso étant la forme républicaine de l’Etat. Dans la tradition judiciaire française, le rôle du procureur repose sur la…Lire Plus"
LA RECTIFICATION DES ACTES D’ETAT CIVIL ET LE CHANGEMENT DE NOM,http://www.justice.gov.bf/index.php/2023/10/13/la-rectification-des-actes-detat-civil-et-le-changement-de-nom/,13 octobre 2023,Info-Pratique,"Les actes de l’état civil dont les énonciations sont fausses ou sans objet, ou qui ont été irrégulièrement dressés, ou qui contiennent des erreurs ou omissions autres que matérielles, mais dont la réparation n’est pas de nature à modifier l’état des personnes peuvent être selon les cas, annulés ou rectifiés par ordonnance du président du tribunal de grande instance. Les…Lire Plus"
L’annuaire 2022 des notaires du burkina faso,http://www.justice.gov.bf/index.php/2022/05/10/lannuaire-2022-des-notaires-du-burkina-faso/,10 mai 2022,Info-Pratique,Annuaire-des-Notaires-du-Burkina-Faso-2022TéléchargerLire Plus
les membres de l’ordre des notaires du burkina faso en 2022,http://www.justice.gov.bf/index.php/2022/05/10/les-membres-de-lordre-des-notaires-du-burkina-faso-en-2022/,10 mai 2022,Info-Pratique,Les-membres-de-lOrdre-des-Notaires-du-Burkina-Faso-2022TéléchargerLire Plus
COMMENT RENDRE VISITE A UN DÉTENU,http://www.justice.gov.bf/index.php/2020/01/24/comment-rendre-visite-a-un-detenu/,24 janvier 2020,Info-Pratique,"Les détenus dans les établissements pénitentiaires peuvent recevoir la visite de leurs familles, de leurs amis et de leurs connaissances. Ces visites sont même encouragées par l’administration pénitentiaire afin de maintenir les liens sociaux. Il est en effet important que les détenus gardent des contacts avec leurs proches pendant leur détention, dans le but de faciliter la réintégration sociale. Aux…Lire Plus"
LE REGISTRE DU COMMERCE ET DU CRÉDIT MOBILIER,http://www.justice.gov.bf/index.php/2020/01/03/le-registre-du-commerce-et-du-credit-mobilier/,3 janvier 2020,Info-Pratique,"Le Registre du commerce et du crédit mobilier (RCCM) est un répertoire à caractère officiel qui a pour objet de recevoir l’immatriculation des personnes physiques ou morales exerçant une activité commerciale, ainsi que la déclaration des entreprenants.Lire Plus"
LA PLAINTE AVEC CONSTITUTION DE PARTIE CIVILE,http://www.justice.gov.bf/index.php/2019/12/08/la-plainte-avec-constitution-de-partie-civile/,8 décembre 2019,Info-Pratique,Une plainte avec constitution de partie civile est une action initiée par la victime d’une infraction lui permettant de saisir directement un juge d’instruction et de demander l’ouverture d’une enquête appelée information judiciaire.Lire Plus
COMMENT PORTER PLAINTE EN JUSTICE ?,http://www.justice.gov.bf/index.php/2019/11/29/comment-porter-plainte-en-justice/,29 novembre 2019,Info-Pratique,"La plainte est l’acte par lequel une personne victime d’une infraction en saisi la justice. Elle peut être déposée contre une personne identifiée ou contre X, si l’identité de l’auteur des faits est inconnue.  La personne visée dans la plainte peut encourir des sanctions pénales (la prison, une amende…)  et éventuellement des sanctions civiles (paiement de dommages et intérêts) si…Lire Plus"
LE CASIER JUDICIAIRE,http://www.justice.gov.bf/index.php/2019/11/22/le-casier-judiciaire/,22 novembre 2019,Info-Pratique,"L’homme est un être social et  vie en société est empreinte de rapports conflictuels. La justice,  à travers son appareil répressif, aura un rôle pacificateur à jouer. Ceux qui feront l’objet d’une condamnation, au lieu d’être marqués au fer rouge ou de leur couper les oreilles comme c’était le cas des criminels à l’époque, pourront être suivis par le casier…Lire Plus"
